ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,nightlight_mean,nightlight_max,nightlight_std,pop_density_mean,pop_total,road_density_km_per_km2,health_facility_count,school_count,poverty_rate,mean_cons_ae,label_source
Southern Province,Nyamagabe,Mbazi,RW2510,0.0,0.0,0.0,431.4009415064103,16824.63671875,2.7319,1,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Mugano,RW2511,0.0106094959138453,1.1769089698791504,0.0834143240800926,268.8162745786517,23924.6484375,3.129,1,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Musange,RW2512,0.0,0.0,0.0,406.35210503472223,29257.3515625,4.1232,1,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Musebeya,RW2513,0.0431283635477865,1.430925965309143,0.1820426435599787,344.76754662298384,21375.587890625,3.0299,1,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Mushubi,RW2514,0.0019893492819994,0.3362000286579132,0.025784913710405,366.8487995426829,15040.80078125,4.0729,1,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Nkomane,RW2515,0.0,0.0,0.0,211.6515957446809,19895.25,2.5604,1,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Tare,RW2516,0.3194194592927631,2.883448600769043,0.5739131309959459,590.0581597222222,31863.140625,4.6417,1,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Uwinkingi,RW2517,0.2038525570140165,2.365999937057495,0.451684612030519,319.9350678066038,33913.1171875,3.0498,1,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Ruhango,Bweramana,RW2601,0.1390602644099745,2.382777690887451,0.3526273095439241,687.3151041666666,43300.8515625,4.3691,2,0,0.12776595902904458,833433.675955968,EICV7_survey
Southern Province,Ruhango,Byimana,RW2602,0.7002128416279195,12.175740242004396,1.3443071542651406,626.6264982876712,45743.734375,4.0609,0,0,0.12776595902904458,833433.675955968,EICV7_survey
Southern Province,Ruhango,Kabagali,RW2603,0.0470835783456323,1.5498113632202148,0.204579709249214,451.30502232142857,31591.3515625,4.1095,1,0,0.12776595902904458,833433.675955968,EICV7_survey
Southern Province,Ruhango,Kinazi,RW2604,0.1455957655813179,3.331295967102051,0.3956098317919888,774.8956310679612,79814.25,3.2488,5,0,0.12776595902904458,833433.675955968,EICV7_survey
Southern Province,Ruhango,Kinihira,RW2605,0.0471953842001901,1.7737737894058228,0.2116798787108521,474.3183035714285,33202.28125,3.277,2,0,0.12776595902904458,833433.675955968,EICV7_survey
Southern Province,Ruhango,Mbuye,RW2606,0.0710196949805485,1.1846551895141602,0.2191430985336367,641.2743195564516,59638.51171875,3.0643,3,0,0.12776595902904458,833433.675955968,EICV7_survey
Southern Province,Ruhango,Mwendo,RW2607,0.0021510874952068,0.5635849237442017,0.0347518820287655,549.7628847947761,36834.11328125,3.088,2,0,0.12776595902904458,833433.675955968,EICV7_survey
Southern Province,Ruhango,Ntongwe,RW2608,0.0061232279062966,0.6118965148925781,0.0567671508466013,497.71695772058825,42305.94140625,2.7506,1,0,0.12776595902904458,833433.675955968,EICV7_survey
Southern Province,Ruhango,Ruhango,RW2609,0.6073678823617789,8.471272468566895,1.1394687566588326,853.893434758772,97343.8515625,4.1051,6,0,0.12776595902904458,833433.675955968,EICV7_survey
Southern Province,Muhanga,Cyeza,RW2701,0.2483272693775318,5.462075233459473,0.6526137358885801,561.2620793269231,36482.03515625,4.6806,6,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Muhanga,Kabacuzi,RW2702,0.0105988371473533,0.7371154427528381,0.0810581710205768,354.86805050872096,30518.65234375,3.924,5,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Muhanga,Kibangu,RW2703,0.0,0.0,0.0,431.30210658482144,24152.91796875,4.8657,1,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Muhanga,Kiyumba,RW2704,0.0414311364560144,1.2150943279266355,0.158917558538593,343.0097931338028,24353.6953125,4.6985,2,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Muhanga,Muhanga,RW2705,0.1933965781300338,1.7948076725006104,0.3500724910443303,449.0215871710527,34125.640625,3.4143,0,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Muhanga,Mushishiro,RW2706,0.0097666499149276,0.6857692003250122,0.0772513709167434,382.9591103830645,23743.46484375,3.2782,0,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Muhanga,Nyabinoni,RW2707,0.0,0.0,0.0,417.51328125,18788.09765625,3.1506,2,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Muhanga,Nyamabuye,RW2708,2.6317285690864507,12.986347198486328,2.8801537748701707,1917.4597886029408,65193.6328125,7.1758,12,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Muhanga,Nyarusange,RW2709,0.0413838846930142,0.8670370578765869,0.1593883121752521,454.0023107394366,32234.1640625,2.9436,1,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Muhanga,Rongi,RW2710,0.0,0.0,0.0,411.28145559210526,39071.73828125,3.5498,4,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Muhanga,Rugendabari,RW2711,0.1330960845947265,1.106600046157837,0.2889915700103354,408.1206640625,20406.033203125,3.466,1,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Muhanga,Shyogwe,RW2712,1.7395885718796782,9.275849342346191,2.031008758105532,1409.5768229166667,59202.2265625,6.1735,4,0,0.1288789400624168,942479.694923118,EICV7_survey
Southern Province,Kamonyi,Gacurabwenge,RW2801,0.5968192988990718,3.2219998836517334,0.6811677507217401,684.3815545550848,40378.51171875,4.3534,2,0,0.36583155120303046,790060.1075482819,EICV7_survey
Southern Province,Kamonyi,Karama,RW2802,0.0176285716465541,0.6890565156936646,0.1031479037877316,469.70649857954544,20667.0859375,3.8471,2,0,0.36583155120303046,790060.1075482819,EICV7_survey
Southern Province,Kamonyi,Kayenzi,RW2803,0.0747366993367171,1.039107084274292,0.2234697453873761,599.8424920550848,35390.70703125,4.3506,0,0,0.36583155120303046,790060.1075482819,EICV7_survey
Southern Province,Kamonyi,Kayumbu,RW2804,0.0,0.0,0.0,510.829638671875,20433.185546875,3.4682,1,0,0.36583155120303046,790060.1075482819,EICV7_survey
Southern Province,Kamonyi,Mugina,RW2805,0.0941827582400381,1.5229412317276,0.2715766233219229,577.6100886418269,60071.44921875,2.9972,1,0,0.36583155120303046,790060.1075482819,EICV7_survey
Southern Province,Kamonyi,Musambira,RW2806,0.2549562390218645,1.6606557369232178,0.4263681088465124,640.657200168919,47408.6328125,3.5629,0,0,0.36583155120303046,790060.1075482819,EICV7_survey
Southern Province,Kamonyi,Ngamba,RW2807,0.1879817988421465,2.211724042892456,0.3976100823189069,509.6233723958333,18346.44140625,3.9606,0,0,0.36583155120303046,790060.1075482819,EICV7_survey
Southern Province,Kamonyi,Nyamiyaga,RW2808,0.0119132388251906,1.2373437881469729,0.0978987574351992,691.5688004032259,64315.8984375,3.9977,1,0,0.36583155120303046,790060.1075482819,EICV7_survey
